2016
North Carolina,1
Florida Gulf Coast,16
Southern California,8
Providence,9
Indiana,5
Chattanooga,12
Kentucky,4
Stony Brook,13
Notre Dame,6
Michigan,11
West Virginia,3
Stephen F Austin,14
Wisconsin,7
Pittsburgh,10
Xavier,2
Weber State,15
Oregon,1
Holy Cross,16
Saint Josephs,8
Cincinnati,9
Baylor,5
Yale,12
Duke,4
North Carolina Wilmington,13
Texas,6
Northern Iowa,11
Texas Am,3
Green Bay,14
Oregon State,7
Virginia Commonwealth,10
Oklahoma,2
Cal State Bakersfield,15
Kansas,1
Austin Peay,16
Colorado,8
Connecticut,9
Maryland,5
South Dakota State,12
California,4
Hawaii,13
Arizona,6
Wichita State,11
Miami Fl,3
Buffalo,14
Iowa,7
Temple,10
Villanova,2
North Carolina Asheville,15
Virginia,1
Hampton,16
Texas Tech,8
Butler,9
Purdue,5
Arkansas Little Rock,12
Iowa State,4
Iona,13
Seton Hall,6
Gonzaga,11
Utah,3
Fresno State,14
Dayton,7
Syracuse,10
Michigan State,2
Middle Tennessee,15
2015
Villanova,1
Lafayette,16
North Carolina State,8
Louisiana State,9
Northern Iowa,5
Wyoming,12
Louisville,4
California Irvine,13
Providence,6
Dayton,11
Oklahoma,3
Albany Ny,14
Michigan State,7
Georgia,10
Virginia,2
Belmont,15
Kentucky,1
Hampton,16
Cincinnati,8
Purdue,9
West Virginia,5
Buffalo,12
Maryland,4
Valparaiso,13
Butler,6
Texas,11
Notre Dame,3
Northeastern,14
Wichita State,7
Indiana,10
Kansas,2
New Mexico State,15
Duke,1
Robert Morris,16
San Diego State,8
St Johns Ny,9
Utah,5
Stephen F Austin,12
Georgetown,4
Eastern Washington,13
Southern Methodist,6
Ucla,11
Iowa State,3
Alabama Birmingham,14
Iowa,7
Davidson,10
Gonzaga,2
North Dakota State,15
Wisconsin,1
Coastal Carolina,16
Oregon,8
Oklahoma State,9
Arkansas,5
Wofford,12
North Carolina,4
Harvard,13
Xavier,6
Mississippi,11
Baylor,3
Georgia State,14
Virginia Commonwealth,7
Ohio State,10
Arizona,2
Texas Southern,15
2014
Wichita State,1
Cal Poly,16
Kentucky,8
Kansas State,9
Saint Louis,5
North Carolina State,12
Louisville,4
Manhattan,13
Massachusetts,6
Tennessee,11
Duke,3
Mercer,14
Texas,7
Arizona State,10
Michigan,2
Wofford,15
Arizona,1
Weber State,16
Gonzaga,8
Oklahoma State,9
Oklahoma,5
North Dakota State,12
San Diego State,4
New Mexico State,13
Baylor,6
Nebraska,11
Creighton,3
Louisiana Lafayette,14
Oregon,7
Brigham Young,10
Wisconsin,2
American,15
Virginia,1
Coastal Carolina,16
Memphis,8
George Washington,9
Cincinnati,5
Harvard,12
Michigan State,4
Delaware,13
North Carolina,6
Providence,11
Iowa State,3
North Carolina Central,14
Connecticut,7
Saint Josephs,10
Villanova,2
Milwaukee,15
Florida,1
Albany Ny,16
Colorado,8
Pittsburgh,9
Virginia Commonwealth,5
Stephen F Austin,12
Ucla,4
Tulsa,13
Ohio State,6
Dayton,11
Syracuse,3
Western Michigan,14
New Mexico,7
Stanford,10
Kansas,2
Eastern Kentucky,15
2013
Indiana,1
James Madison,16
North Carolina State,8
Temple,9
Nevada Las Vegas,5
California,12
Syracuse,4
Montana,13
Butler,6
Bucknell,11
Marquette,3
Davidson,14
Illinois,7
Colorado,10
Miami Fl,2
Pacific,15
Louisville,1
North Carolina At,16
Colorado State,8
Missouri,9
Oklahoma State,5
Oregon,12
Saint Louis,4
New Mexico State,13
Memphis,6
Saint Marys Ca,11
Michigan State,3
Valparaiso,14
Creighton,7
Cincinnati,10
Duke,2
Albany Ny,15
Kansas,1
Western Kentucky,16
North Carolina,8
Villanova,9
Virginia Commonwealth,5
Akron,12
Michigan,4
South Dakota State,13
Ucla,6
Minnesota,11
Florida,3
Northwestern State,14
San Diego State,7
Oklahoma,10
Georgetown,2
Florida Gulf Coast,15
Gonzaga,1
Southern,16
Pittsburgh,8
Wichita State,9
Wisconsin,5
Mississippi,12
Kansas State,4
La Salle,13
Arizona,6
Belmont,11
New Mexico,3
Harvard,14
Notre Dame,7
Iowa State,10
Ohio State,2
Iona,15
2012
Syracuse,1
North Carolina Asheville,16
Kansas State,8
Southern Mississippi,9
Vanderbilt,5
Harvard,12
Wisconsin,4
Montana,13
Cincinnati,6
Texas,11
Florida State,3
St Bonaventure,14
Gonzaga,7
West Virginia,10
Ohio State,2
Loyola Md,15
North Carolina,1
Vermont,16
Creighton,8
Alabama,9
Temple,5
South Florida,12
Michigan,4
Ohio,13
San Diego State,6
North Carolina State,11
Georgetown,3
Belmont,14
Saint Marys Ca,7
Purdue,10
Kansas,2
Detroit Mercy,15
Kentucky,1
Western Kentucky,16
Iowa State,8
Connecticut,9
Wichita State,5
Virginia Commonwealth,12
