Arizona,6
Arkansas Little Rock,12
Austin Peay,16
Baylor,5
Buffalo,14
Butler,9
Cal State Bakersfield,15
California,4
Chattanooga,12
Cincinnati,9
Colorado,8
Connecticut,9
Dayton,7
Duke,4
Florida Gulf Coast,16
Fresno State,14
Gonzaga,11
Green Bay,14
Hampton,16
Hawaii,13
Holy Cross,16
Indiana,5
Iona,13
Iowa,7
Iowa State,4
Kansas,1
Kentucky,4
Maryland,5
Miami Fl,3
Michigan,11
Michigan State,2
Middle Tennessee,15
North Carolina,1
North Carolina Asheville,15
North Carolina Wilmington,13
Northern Iowa,11
Notre Dame,6
Oklahoma,2
Oregon,1
Oregon State,7
Pittsburgh,10
Providence,9
Purdue,5
Saint Josephs,8
Seton Hall,6
South Dakota State,12
Southern California,8
Stephen F Austin,14
Stony Brook,13
Syracuse,10
Temple,10
Texas,6
Texas Am,3
Texas Tech,8
Utah,3
Villanova,2
Virginia,1
Virginia Commonwealth,10
Weber State,15
West Virginia,3
Wichita State,11
Wisconsin,7
Xavier,2
Yale,12
