team_name,season,wins,losses,sos,points_for,points_against,AP_preseason,fg_pct,3pt_pct,ft_pct,opp_fg_pct,opp_3pt_pct,opp_ft_pct,O_reb,D_reb,opp_O_reb,opp_D_reb,turnover,opp_turnover,ppg,opp_ppg,OUTCOME
Akron,2012-13,26,7,0.18,71.8,62.8,None,58,60,168,119,18,175,86,85,288,138,278,101,72,134,Lost Second Round
Akron,2010-11,23,13,-1.02,70.1,65.7,None,183,187,274,98,69,282,23,104,262,251,241,74,129,95,Lost Second Round
Alabama,2011-12,21,12,7.18,64.7,58.1,19,99,326,123,5,37,87,22,30,334,253,324,10,229,8,Lost Second Round
Alabama State,2010-11,17,18,-10.31,61.3,63.8,None,305,249,313,193,215,77,102,253,65,118,305,91,266,107,Lost First Round
Alabama Birmingham,2014-15,20,16,1.62,68.8,68.1,None,302,334,305,68,40,35,6,51,234,157,182,298,103,184,Lost Third Round
Alabama Birmingham,2010-11,22,9,2.78,68.4,62.6,None,229,291,155,54,49,305,71,80,76,182,207,102,221,20,Lost First Round
Albany Ny,2014-15,24,9,-5.18,65.3,60.5,None,181,103,19,90,212,306,202,82,112,106,260,181,292,39,Lost Second Round
Albany Ny,2013-14,19,15,-5.22,65.9,63.9,None,161,51,43,166,141,19,193,85,87,154,267,167,254,40,Lost Second Round
Albany Ny,2012-13,24,11,-4.53,64.3,60.7,None,120,79,19,300,305,43,81,137,218,148,149,152,74,233,Lost Second Round
American,2013-14,20,13,-3.25,63.1,59.1,None,267,68,119,234,347,90,321,261,8,40,31,345,337,104,Lost Second Round
Arizona State,2013-14,21,12,7.41,75.3,69.4,None,50,138,299,90,181,341,213,20,283,320,212,173,66,195,Lost Second Round
Arizona,2015-16,25,9,7.23,80.4,68.9,12,5,94,84,43,138,203,52,6,40,235,220,15,22,19,Lost First Round
Arizona,2014-15,34,4,7.41,76.6,59.7,2,48,87,302,4,57,283,18,5,229,279,137,44,109,6,Lost Regional Final
Arizona,2013-14,33,5,9.04,72.9,58.6,6,64,50,22,93,269,275,101,39,75,120,243,102,42,100,Lost Regional Final
Arizona,2012-13,27,8,7.47,73.4,63.6,12,146,39,118,43,3,55,195,32,245,259,173,205,142,62,Lost Regional Semifinal
Arizona,2010-11,30,8,7.99,76.4,67.9,None,128,96,36,208,51,207,291,151,135,100,164,263,105,271,Lost Regional Final
Arkansas,2014-15,27,9,6.79,77.4,70.1,None,184,91,76,48,195,169,70,104,346,333,153,4,17,214,Lost Third Round
Arkansas Little Rock,2015-16,30,5,-1.76,71.1,60.8,None,270,171,125,247,304,85,206,224,141,292,12,153,123,276,Lost Second Round
Arkansas Little Rock,2010-11,19,17,-2.97,68.3,67.4,None,218,60,146,228,244,223,307,210,107,112,70,322,203,290,Lost First Round
Austin Peay,2015-16,18,18,-2.98,76.1,76.8,None,322,322,265,336,340,331,115,307,17,178,246,142,246,314,Lost First Round
Baylor,2015-16,22,12,9.76,77.1,69.6,22,181,53,244,58,12,8,5,75,265,30,260,180,128,33,Lost First Round
Baylor,2014-15,24,10,9.33,69.1,60.2,None,106,31,243,117,241,63,4,18,333,186,278,194,70,115,Lost Second Round
Baylor,2013-14,26,12,10.11,74.8,67.8,25,48,104,186,73,57,149,28,12,342,315,193,81,21,165,Lost Regional Semifinal
Baylor,2011-12,30,8,8.03,74.7,65.3,12,38,167,161,99,191,141,185,220,89,4,295,121,151,62,Lost Regional Final
Belmont,2014-15,22,11,-2.77,74.2,70.6,None,3,17,44,283,217,170,260,116,293,214,312,16,20,277,Lost Second Round
Belmont,2012-13,26,7,-0.96,76.8,64.5,None,16,37,44,162,156,31,83,59,291,207,153,66,4,188,Lost Second Round
Belmont,2011-12,27,8,-1.22,80.9,67.5,None,47,32,48,53,136,106,25,99,243,188,285,1,12,34,Lost Second Round
